imdb_id,budget,revenue,certification,original_language,release_date,popularity,vote_average,vote_count
tt0137204,0.0,0.0,,en,2017-09-21,1.565,10.0,1
tt0138288,0.0,0.0,,en,2000-10-18,1.636,10.0,1
tt0138353,1700000.0,0.0,,en,2000-01-25,1.469,5.3,3
tt0138524,60000000.0,119941000.0,PG-13,en,2003-09-02,9.554,6.0,1167
tt0138749,95000000.0,76432700.0,PG,en,2000-03-31,41.255,7.2,3130
tt0138818,0.0,0.0,PG-13,en,2000-06-22,0.6,4.0,1
tt0138927,0.0,0.0,PG-13,en,2000-01-01,1.593,6.0,4
tt0138946,0.0,0.0,R,en,2000-10-20,9.666,6.2,331
tt0139388,0.0,0.0,PG,en,2000-01-01,4.254,6.3,16
tt0139500,0.0,0.0,,pt,2000-08-09,3.283,6.6,38
tt0139654,45000000.0,104876000.0,R,en,2001-10-05,26.823,7.5,4680
tt0140420,0.0,0.0,,es,1964-03-06,0.6,6.0,5
tt0140806,0.0,0.0,,en,1999-01-01,0.6,0.0,0
tt0141120,0.0,0.0,,en,2001-01-01,1.041,2.0,4
tt0141907,90000000.0,10372300.0,R,en,2001-04-27,5.074,4.6,50
tt0141926,62000000.0,127666000.0,PG-13,en,2000-04-20,17.581,6.4,941
tt0142634,0.0,0.0,R,en,2004-08-24,3.621,3.2,16
tt0142650,0.0,0.0,,en,2000-06-27,0.6,0.0,0
tt0143344,0.0,0.0,,en,2000-02-04,3.144,3.0,2
tt0143558,0.0,0.0,,hu,2009-01-01,0.6,6.8,5
tt0143861,0.0,0.0,,en,2001-11-07,2.545,7.6,24
tt0144084,7000000.0,34266600.0,R,en,2000-04-13,40.034,7.4,7902
tt0144142,3000000.0,0.0,R,en,2000-04-18,5.255,4.6,44
tt0144280,100000.0,0.0,,en,1997-01-01,0.714,2.0,2
tt0144528,84000000.0,123308000.0,PG-13,en,2000-07-27,13.86,5.0,1049
tt0144574,0.0,0.0,,en,2000-02-16,0.871,1.0,1
tt0144608,0.0,0.0,PG,en,2000-03-24,3.601,4.8,19
tt0144964,25000000.0,15843600.0,R,en,2000-09-01,10.47,4.9,308
tt0145487,139000000.0,821709000.0,PG-13,en,2002-05-01,111.724,7.2,15688
tt0145937,3000000.0,13308.0,PG,en,2002-09-02,8.891,6.2,101
tt0146063,0.0,0.0,G,en,2002-08-16,3.524,7.1,19
tt0146272,0.0,0.0,,en,2005-02-08,0.6,0.0,0
tt0146309,80000000.0,34566700.0,PG-13,en,2000-12-24,9.103,7.0,566
tt0146316,115000000.0,274703000.0,PG-13,en,2001-06-11,20.798,5.9,5221
tt0146803,0.0,0.0,,en,2004-10-01,0.6,0.0,0
tt0146882,30000000.0,47126300.0,R,en,2000-03-17,12.99,7.2,1566
tt0146984,80000000.0,39459400.0,PG-13,en,2000-11-02,8.926,6.5,722
tt0147486,0.0,0.0,,en,2000-01-01,0.6,0.0,0
tt0148120,0.0,0.0,,en,2000-05-02,0.6,0.0,0
tt0148415,0.0,0.0,,en,2001-08-25,1.513,3.5,2
tt0148421,0.0,0.0,,en,2000-11-10,1.254,0.0,0
tt0149253,0.0,0.0,R,en,2002-01-11,0.714,3.5,2
tt0149367,0.0,0.0,PG-13,en,2000-04-14,5.106,6.1,47
