imdb_id,company_id
tt0204250,14402
tt0206634,36827
tt0206634,33356
tt0206634,16040
tt0244521,11845
tt0244521,35383
tt0244521,35694
tt0244521,6564
tt0259822,22562
tt0259822,24039
tt0266732,5331
tt0266732,1781
tt0287072,13362
tt0298337,2197
tt0298337,13484
tt0298337,33225
tt0298337,33229
tt0298337,23314
tt0301555,31767
tt0302498,30001
tt0302498,25753
tt0308055,35320
tt0308055,5163
tt0308055,16103
tt0308055,22824
tt0308353,25362
tt0308353,20530
tt0308353,3388
tt0308353,3450
tt0308353,37146
tt0310334,16850
tt0314096,39407
tt0317219,27208
tt0317219,37896
tt0317919,26429
tt0317919,8663
tt0317919,21361
tt0317919,7001
tt0317919,34990
tt0317919,7004
tt0317919,7247
tt0317919,33439
tt0323120,4475
tt0323120,9959
tt0325011,33566
tt0325011,28409
tt0325011,38371
tt0325011,22969
tt0327084,10314
tt0331334,11102
tt0337564,26135
tt0337564,15161
tt0343737,23581
tt0343737,36827
tt0343737,1990
tt0344854,6303
tt0344854,32297
tt0344854,3202
tt0344854,11530
tt0348150,8866
tt0348150,20016
tt0348150,3642
tt0348150,37965
tt0348150,26882
tt0348150,29063
tt0349467,30876
tt0349467,29406
tt0353357,3322
tt0353357,16607
tt0353357,19891
tt0353357,4345
tt0353515,21536
tt0353515,6292
tt0354899,26514
tt0354899,14147
tt0354899,13435
tt0354899,34177
tt0354899,22969
tt0354899,6303
tt0360323,33877
tt0361786,33582
tt0361852,8932
tt0361852,33076
tt0361852,459
tt0362058,24650
tt0362120,9827
tt0362120,390
tt0362120,5356
tt0362120,30774
tt0362120,23193
tt0362225,20224
tt0364745,35566
tt0364745,1691
tt0364745,4029
tt0364955,23840
tt0365830,24535
tt0365830,29007
tt0366548,18746
tt0366548,2205
tt0367027,13267
tt0367027,27834
tt0367027,28244
tt0370032,36645
tt0370032,30910
tt0371530,39048
tt0371552,21227
tt0371552,21223
tt0371552,733
tt0371552,34177
tt0372975,29728
tt0372975,23977
tt0373900,24750
tt0373900,31767
tt0373900,31765
tt0375154,28256
tt0375154,11365
tt0375154,13444
tt0375154,30870
tt0375154,38691
tt0375154,33157
tt0375154,2387
tt0375154,21330
tt0375154,167
tt0375785,38894
tt0375785,2519
tt0377332,35825
tt0380066,30268
tt0380066,36775
tt0380066,13802
tt0380066,7268
tt0380066,7462
tt0380268,28674
tt0381061,11327
tt0381061,33157
tt0381061,7998
tt0381061,33439
tt0381061,9131
tt0381061,6551
tt0381061,14819
tt0381061,22824
tt0381111,18651
