tconst,primaryTitle,startYear,runtimeMinutes,imdb_id,id,budget,revenue,certification,original_title,poster_path,tagline,original_language,release_date,popularity,vote_average,vote_count,Genre_Action,Genre_Adult,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_News,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,profit,ROI
tt1598822,New Year's Eve,2011.0,118,tt1598822,62838,56000000.0,142045000.0,PG-13,New Year's Eve,/ho8CT1R0d90HLlSa5KrnfEPqhvt.jpg,The one night anything is possible.,en,2011-12-08,15.884,5.9,1862,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,86045000.0,1.536517857142857
tt1634121,Intruders,2011.0,100,tt1634121,63207,13000000.0,3012210.0,R,Intruders,/erGjRCwzKOGHxJ32fR5ObGYtBBK.jpg,The Nightmare is Real.,en,2011-09-12,7.658,5.4,407,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-9987790.0,-0.7682915384615384
tt1189073,The Skin I Live In,2011.0,120,tt1189073,63311,13000000.0,33750500.0,R,La piel que habito,/wlTHU4M3Hmkxntnfv4iVMeMnPg2.jpg,,es,2011-08-17,31.595,7.5,3493,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,20750500.0,1.5961923076923077
tt0770703,What's Your Number?,2011.0,106,tt0770703,63492,20000000.0,30426100.0,R,What's Your Number?,/e2PcyjS9oBaMR7rV2DUJ1yY1gKX.jpg,Ally's looking for the best ex of her life.,en,2011-09-30,16.029,6.5,1989,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10426100.0,0.521305
tt1535970,The Ledge,2011.0,101,tt1535970,63493,10000000.0,610986.0,R,The Ledge,/cTaDS6CTIfZ5MH189ub6oE1FATk.jpg,One life. One chance. One step.,en,2011-05-06,8.052,6.1,282,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-9389014.0,-0.9389014
tt0311863,Stealing Sinatra,2003.0,96,tt0311863,63903,10000000.0,10.0,R,Stealing Sinatra,/rb2XrjDjdVqBqVb13zRw2zUmrqO.jpg,What's a little kidnapping among friends?,en,2003-01-24,2.759,5.1,13,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999990.0,-0.999999
tt1204342,The Muppets,2011.0,120,tt1204342,64328,45000000.0,165184000.0,PG,The Muppets,/rsNbxonO8gtylIXwiv7JeqwJ4Kb.jpg,They're closer than you think.,en,2011-11-22,24.222,6.6,1282,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120184000.0,2.6707555555555555
tt1588398,Sleeping Beauty,2011.0,101,tt1588398,64586,10000000.0,408680.0,R,Sleeping Beauty,/16ZnflyFScT9pgrqn7WoZwIJvKv.jpg,Awaken to a World of Wonders!,en,2011-06-10,11.269,5.3,486,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-9591320.0,-0.959132
tt1386703,Total Recall,2012.0,118,tt1386703,64635,125000000.0,198802000.0,PG-13,Total Recall,/fucmGeZYM4yzqJUnDTc4pKQNCej.jpg,What Is Real?,en,2012-08-02,54.236,6.0,4670,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,73802000.0,0.590416
tt0999913,Straw Dogs,2011.0,110,tt0999913,64639,25000000.0,10324400.0,R,Straw Dogs,/hSW5Msz5Cr6vUQxChPSPdxufnss.jpg,Everyone Has A Breaking Point,en,2011-09-16,11.666,5.8,421,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-14675600.0,-0.587024
tt1343092,The Great Gatsby,2013.0,143,tt1343092,64682,105000000.0,351040000.0,PG-13,The Great Gatsby,/nimh1rrDDLhgpG8XAYoUZXHYwb6.jpg,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,en,2013-05-10,25.736,7.4,10467,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,246040000.0,2.343238095238095
tt0477302,Extremely Loud & Incredibly Close,2011.0,129,tt0477302,64685,40000000.0,55247900.0,PG-13,Extremely Loud & Incredibly Close,/6pszViNvKr1r31pP7gJNYDHEx5P.jpg,"This is not a story about September 11th, it's a story about every day after.",en,2011-12-25,9.872,7.0,1736,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15247900.0,0.3811975
