tconst,Genre_ID
tt0035423,5
tt0035423,10
tt0035423,19
tt0062336,8
tt0067683,7
tt0069049,8
tt0088751,5
tt0088751,13
tt0088751,20
tt0096056,8
tt0097304,7
tt0100275,5
tt0100275,8
tt0100275,10
tt0104278,10
tt0104278,20
tt0108549,5
tt0108549,16
tt0113026,15
tt0113026,19
tt0113092,0
tt0113092,2
tt0113092,8
tt0113506,7
tt0114447,0
tt0115937,8
tt0116391,0
tt0116391,6
tt0116391,8
tt0116628,0
tt0116628,24
tt0116991,8
tt0117743,8
tt0117743,19
tt0118141,8
tt0118154,4
tt0118154,7
tt0118589,8
tt0118589,14
tt0118589,19
tt0118652,5
tt0118652,13
tt0118652,16
tt0118694,8
tt0118694,19
tt0118710,8
tt0118852,8
tt0118926,6
tt0118926,8
tt0118926,24
tt0119004,5
tt0119004,8
tt0119231,5
tt0119273,0
tt0119273,2
tt0119273,3
tt0119495,5
tt0119495,8
tt0119495,19
tt0119806,5
tt0119806,19
tt0119830,0
tt0119830,5
tt0119966,8
tt0119966,24
tt0119970,5
tt0119970,8
tt0119970,20
tt0119980,8
tt0120166,2
tt0120166,9
tt0120166,10
tt0120202,5
tt0120202,8
tt0120263,5
tt0120263,8
tt0120454,7
tt0120467,6
tt0120467,8
tt0120467,24
tt0120589,8
tt0120607,5
tt0120624,8
tt0120624,12
tt0120626,8
tt0120626,12
tt0120626,25
tt0120630,2
tt0120630,3
tt0120630,5
tt0120667,0
tt0120667,2
tt0120667,10
tt0120679,4
tt0120679,8
tt0120679,19
tt0120681,13
tt0120681,16
tt0120681,24
tt0120698,5
tt0120698,8
tt0120698,24
tt0120733,3
tt0120733,9
tt0120733,15
tt0120737,0
tt0120737,2
tt0120737,8
tt0120753,8
tt0120753,16
tt0120753,24
tt0120755,0
tt0120755,2
tt0120755,24
tt0120804,0
tt0120804,13
tt0120804,20
tt0120807,8
tt0120824,8
tt0120903,0
tt0120903,2
tt0120903,20
tt0120912,0
tt0120912,2
tt0120912,5
tt0120913,0
tt0120913,2
tt0120913,3
tt0120917,2
tt0120917,3
tt0120917,5
tt0121164,3
tt0121164,8
tt0121164,9
tt0121765,0
tt0121765,2
tt0121765,10
tt0121766,0
tt0121766,2
tt0121766,10
tt0122161,8
tt0122161,24
tt0122247,5
tt0122247,13
tt0122247,16
tt0122459,5
tt0122459,8
tt0122459,19
tt0123003,5
tt0123003,8
tt0123055,5
tt0123055,9
tt0123581,5
tt0124889,5
tt0124889,6
tt0125022,5
tt0125022,6
tt0125022,19
tt0126029,2
tt0126029,3
tt0126029,5
tt0126899,6
tt0126899,24
tt0127349,8
tt0127349,16
tt0127349,19
tt0128158,13
tt0128165,0
tt0128165,6
tt0128216,5
tt0130623,2
tt0130623,3
tt0130623,8
tt0131597,0
tt0131597,6
tt0131597,20
tt0131704,2
tt0131704,3
tt0131704,5
tt0132078,5
tt0132245,0
tt0132245,8
tt0132245,22
tt0132885,24
tt0132910,0
tt0132910,6
tt0132910,10
tt0133063,10
tt0133152,0
tt0133152,2
tt0133152,20
tt0133240,2
tt0133240,3
tt0133240,9
tt0133752,6
tt0133752,8
tt0133752,24
tt0134084,13
tt0134084,16
tt0134630,5
tt0134630,8
tt0134630,14
tt0134847,0
tt0134847,13
tt0134847,20
tt0134983,13
tt0134983,20
tt0134983,24
tt0135707,8
tt0135707,9
tt0135707,26
tt0135991,3
tt0135991,5
tt0135991,20
tt0136517,5
tt0136517,8
tt0137204,2
tt0137204,3
tt0137204,5
tt0137210,7
tt0137210,22
tt0137698,1
tt0138288,5
tt0138353,6
tt0138353,8
tt0138524,5
tt0138524,6
tt0138524,19
tt0138749,2
tt0138749,3
tt0138749,5
tt0138818,8
tt0138927,8
tt0138946,6
tt0138946,8
tt0138946,19
tt0139159,6
tt0139159,24
tt0139297,1
tt0139388,5
tt0139388,19
tt0139500,8
tt0139654,0
tt0139654,6
tt0139654,8
tt0140420,7
tt0140806,8
tt0140806,14
tt0141120,0
tt0141120,24
tt0141907,5
tt0141907,19
tt0141926,0
tt0141926,25
tt0142634,5
tt0142650,5
tt0142650,19
tt0143344,0
tt0143344,8
tt0143558,8
tt0143861,7
tt0143861,14
tt0144084,6
tt0144084,8
tt0144084,13
tt0144142,5
tt0144142,8
tt0144280,6
tt0144280,10
tt0144280,16
tt0144528,5
tt0144528,19
tt0144528,20
tt0144574,2
tt0144574,5
tt0144574,6
tt0144608,0
tt0144608,2
tt0144608,3
tt0144964,0
tt0144964,2
tt0144964,10
tt0145487,0
tt0145487,2
tt0145487,20
tt0145937,7
tt0145937,14
tt0146063,2
tt0146063,3
tt0146063,9
tt0146272,5
tt0146272,8
tt0146309,8
tt0146309,12
tt0146309,24
tt0146316,0
tt0146316,2
tt0146316,10
tt0146803,8
tt0146882,5
tt0146882,8
tt0146882,14
tt0146984,8
tt0146984,10
tt0146984,22
tt0147447,1
tt0147486,0
tt0147486,5
tt0148120,13
tt0148415,10
tt0148421,8
tt0148421,14
tt0149253,8
tt0149253,12
tt0149253,25
tt0149367,5
tt0149367,6
tt0149367,8
tt0149624,8
tt0149624,19
tt0149624,26
tt0150021,0
tt0150021,5
tt0151150,0
tt0151150,8
tt0151150,15
tt0151299,0
tt0151309,5
tt0151372,7
tt0151685,8
tt0152083,8
tt0152772,1
tt0153012,6
tt0153012,8
tt0153012,24
tt0153100,8
tt0153464,8
tt0153464,19
tt0153516,1
tt0153517,1
tt0153517,6
tt0153517,16
tt0153533,13
tt0154187,8
tt0154352,7
tt0155150,8
tt0155723,8
tt0155754,8
tt0155754,9
tt0155754,25
tt0156020,4
tt0156020,6
tt0156020,8
tt0156100,5
tt0156100,13
tt0156323,5
tt0156323,6
tt0156376,5
tt0156376,19
tt0156741,5
tt0156741,19
tt0156757,5
tt0156757,8
tt0156757,19
tt0156807,5
tt0156812,5
tt0156812,8
tt0156812,9
tt0156841,5
tt0156841,8
tt0156841,19
tt0156942,8
tt0157007,8
tt0157007,24
tt0157122,8
tt0157122,19
tt0157191,8
tt0157191,19
tt0157202,0
tt0157202,6
tt0157202,8
tt0157262,5
tt0157262,20
tt0157472,0
tt0157472,2
tt0157472,5
tt0157583,8
tt0157583,16
