tconst,averageRating,numVotes
tt0164953,6.9,30
tt0164961,6.4,22364
tt0165361,6.1,6533
tt0165400,3.5,257
tt0165452,3.1,45
tt0165642,3.2,173
tt0165713,6.9,11
tt0165800,4.0,623
tt0165832,7.6,33438
tt0165928,4.4,248
tt0165929,6.1,70973
tt0165982,6.7,55171
tt0166013,6.4,753
tt0166069,6.5,849
tt0166110,4.3,7707
tt0166158,5.6,2432
tt0166186,5.7,70
tt0166192,5.6,216
tt0166276,4.8,18125
tt0166339,7.8,10
tt0166370,4.8,1914
tt0166813,7.1,76877
tt0166924,7.9,355791
tt0167116,6.0,3318
tt0167183,4.8,219
tt0167190,6.8,330386
tt0167203,5.5,4690
tt0167260,9.0,1835303
tt0167261,8.8,1657185
tt0167360,5.4,939
tt0167367,4.5,566
tt0167456,4.3,13985
tt0168446,7.1,3319
tt0168504,5.6,1692
tt0168509,6.2,28
tt0168515,7.7,749
tt0168578,5.5,140
tt0168612,5.3,160
tt0168629,7.9,110588
tt0168631,4.8,625
tt0168714,2.6,27
tt0168786,7.3,36220
tt0168856,6.0,6718
tt0169102,8.1,114862
tt0169122,3.5,472
tt0169324,5.7,822
tt0169543,5.6,749
tt0169579,6.4,41
tt0170008,5.3,159
tt0170016,6.2,246593
tt0170367,5.8,40
tt0170452,5.1,632
tt0170508,6.8,201
tt0170691,7.0,41562
tt0171339,4.6,113
tt0171356,5.6,7556
tt0171359,5.9,9655
tt0171433,6.4,52117
tt0171580,6.3,35393
tt0171827,8.9,84
tt0172156,6.6,251911
tt0172464,3.1,491
tt0172495,8.5,1491681
tt0172543,7.0,3784
tt0172632,6.6,1611
tt0172699,4.6,241
tt0172794,4.0,424
tt0172949,3.8,84
tt0172995,5.5,207
tt0173498,4.9,318
tt0173568,6.2,375
tt0173716,6.2,15950
tt0173840,6.4,82439
tt0174336,4.5,4196
tt0174480,5.6,26891
tt0174646,6.5,42
tt0174732,6.2,153
tt0175114,7.3,27
tt0175142,6.2,262642
tt0175526,5.2,13866
tt0176185,4.4,301
tt0176244,3.9,457
tt0176578,6.9,14
tt0176579,2.4,486
tt0176650,2.7,518
tt0176694,8.1,951
tt0176783,5.9,16680
tt0176883,5.2,295
tt0177068,5.2,774
tt0177185,3.8,442
tt0177195,4.2,410
tt0177213,7.3,60
tt0177513,5.3,40
tt0177636,5.5,291
tt0177650,5.2,2111
tt0177845,6.2,1382
tt0177858,7.7,22178
tt0177882,6.6,5027
tt0177885,4.5,482
tt0177888,5.9,570
tt0177971,6.4,169104
tt0177997,3.9,353
tt0178043,6.2,1318
tt0178050,5.6,1710
tt0178642,5.5,3096
tt0179098,6.6,14255
tt0179144,6.2,56
tt0179183,4.5,7058
tt0179220,8.5,27
tt0179344,2.6,211
tt0179400,5.8,72
tt0179435,5.3,735
tt0179443,3.5,1086
tt0179473,4.1,1522
tt0179626,6.1,50686
tt0179653,7.1,74
tt0179803,5.0,149
tt0179861,3.5,1206
tt0180052,3.8,26064
tt0180073,7.3,54740
tt0180093,8.3,839210
tt0180679,6.2,1878
tt0180683,6.2,141
tt0180734,6.4,31837
tt0181151,5.6,9570
tt0181311,5.6,816
tt0181536,7.3,86738
tt0181594,7.7,49
tt0181689,7.7,551698
tt0181739,6.3,36505
tt0181836,5.7,2400
tt0181852,6.3,400660
tt0181865,7.6,208197
tt0181875,7.9,276954
tt0181945,5.7,138
tt0181984,7.0,53681
tt0182000,5.8,7951
tt0182027,6.0,81
tt0182295,5.9,4710
tt0182508,6.9,3096
tt0183056,6.6,1027
tt0183113,5.4,90
tt0183142,2.5,246
tt0183280,3.3,395
tt0183423,4.0,120
tt0183488,6.7,61
tt0183505,6.6,238859
tt0183523,5.6,73913
tt0183550,6.4,570
tt0183639,4.6,163
tt0183649,7.1,270333
tt0183659,7.0,28490
tt0183790,6.9,188280
tt0183808,4.9,584
tt0183869,6.5,56153
tt0184009,6.0,36
tt0184384,6.7,126
tt0184457,4.7,181
tt0184719,6.8,294
tt0184791,6.1,21394
tt0184858,5.8,40277
tt0184894,6.6,128353
tt0184907,5.1,12743
tt0185007,5.0,377
tt0185014,7.2,64716
