Genre_Name,Genre_ID
Action,0
Adult,1
Adventure,2
Animation,3
Biography,4
Comedy,5
Crime,6
Documentary,7
Drama,8
Family,9
Fantasy,10
Game-Show,11
History,12
Horror,13
Music,14
Musical,15
Mystery,16
News,17
Reality-TV,18
Romance,19
Sci-Fi,20
Sport,21
Talk-Show,22
Thriller,23
War,24
Western,25
