collection_id,collection_name
238,Beautiful Disaster Collection
239,Beavis and Butt-Head Collection
240,Becky Collection
241,Bedroom to Billions
242,Beef Collection
243,Before... Collection
244,Beginnings of the Space Age
245,Behind Closed Doors Collection
246,Behind Enemy Lines Collection
247,Behzat Ç. Collection
248,Beiyang Trilogy
249,Believer Collection
250,Belle & Sebastian
251,Bennett's Song Collection
252,Benvenuto Presidente - Collezione
253,Benyamin The Troublemaker
254,Berlin Blues Collection
255,Bernie the Dolphin Collection
256,Berserk: Golden Age Arc Collection
257,Best Exotic Marigold Hotel Collection
258,Best F(r)iends Collection
259,Beverly Hills Chihuahua Collection
260,Beyond the Boundary: I'll Be Here Collection
261,Bhai - Vyakti ki Valli
262,Bheja Fry Collection
263,Bhool Bhulaiyaa Collection
264,Bhoothnath Collection
265,Bibi & Tina Collection
266,Bibi Blocksberg Collection
267,Big Brother Collection
268,Big Fat Liar Collection
269,Big Fish & Begonia Collection
270,Big Momma's House Collection
271,Bigfoot Collection
272,Bill & Ted's Most Excellent Collection
273,Binge Collection
274,Birbal Trilogy
275,Bird Box Collection
276,Birdemic Collection
277,Bishorjan and Bijoya Collection
278,Black & White Collection
279,Black Is Beltza Collection
280,Black Panther Collection
281,Black Water Collection
282,Blade Collection
283,Blade Runner Collection
284,Blair Witch Collection
285,Bleach Collection
286,Blood Feast Collection
287,BloodRayne Collection
288,Bloodbath at Pinky High Collection
289,Bloodshot Collection
290,Bloodsucka Jones Collection
291,Bloodthirst Collection
292,Bloody Chainsaw Girl Collection
293,Bloody Nun Collection
294,Blue Collar Comedy Tour Collection
295,Blue Crush Collection
296,Bo Bear Collection
297,BoBoiBoy Collection
298,Bob The Cat Collection
299,Boggy Creek Collection
300,Bon Bini Holland Collection
301,Bon Cop Bad Cop Collection
302,Bonded by Blood Collection
303,Boogeyman Collection
304,Book Club Collection
305,Boon Collection
306,Boonie Bears Collection
307,Borat Moviefilms Collection
308,Bordertown Collection
309,Borgríki Collection
310,Boule & Bill
311,Bound Heat
312,Boys Briefs Collection
313,Boys Feels Collection
314,Boys Life Collection
315,Boys on Film Collection
316,Boys/Girls State Collection
317,Boyz Collection
318,Brahmāstra Collection
319,Bratz Collection
320,Breakout Brothers The Collection
321,Brice Collection
322,Bridget Jones Collection
323,Brigada Z Collection
324,Bring It On Collection
325,Broken Blade Collection
326,Brother Bear Collection
327,Brother Collection
328,Brotherhood of Blades Collection
329,Buddy Games Collection
330,Bulletproof Collection
331,Bunker of Blood Collection
332,Bunnyman Collection
333,Bunshinsaba Films
334,Bunty Aur Babli
335,Buppah Ratree Collection
336,Burg Schreckenstein Filmreihe
337,Burnt by the Sun Trilogy
338,Butch Cassidy Collection
339,Buya Hamka Collection
340,Børning Collection
341,Bāhubali Collection
342,C.I.Ape Collection
343,Cabin Fever Collection
344,Cade Altair Collection
345,Caesar and Otto Collection
346,Cal Collection
347,California Trilogy
348,Call It in The Air Collection
349,Camp Blood Collection
350,Campaign Collection
351,Camping Collection
352,Can play that game (Shanté Smith) Collection
353,Candyman Collection
354,Captain America Collection
355,Captain Marvel Collection
356,Captain Underpants Collection
357,Cardcaptor Sakura Collection
358,Carmina Collection
359,CarousHELL Collection
360,Carpenter Andersen Collection
361,Carry on Jatta Collection
362,Cars Collection
363,Carters Collection
364,Carved Collection
365,Casa da Mãe Joana: Coleção
366,Casper and Emma Collection
367,Cat Run Collection
368,Cats & Dogs Collection
369,Cattle Hill Collection
370,Cek Toko Sebelah - Collection
371,Cementerio General Collection
372,Center Stage Collection
373,Chaar Sahibzaade Collection
374,Chal Mera Putt Collection
375,Champions - Collection
376,Chander Pahar Trilogy
377,Chandramukhi Collection
378,Chantilly Collection
379,Charlie's Angels Collection
380,Charlotte's Web Collection
381,Charter Trips
382,Chasing The Dragon Collection
383,Che Collection
384,Cheaper by the Dozen (2003) Collection
385,Cheech & Chong Collection
386,Cheeni Collection
387,Cheerleader Camp Collection
388,Chennai 600028 Collection
389,Cherry Blossoms
390,Chhakka Panja Collection
391,Chibi Maruko-chan Collection
392,Chicken Run Collection
393,Chief Daddy Collection
394,Chihayafuru Collection
395,Child's Play Collection
396,Children of the Corn Collection
397,Chili Palmer Collection
398,China Victory Trilogy Collection
399,Chocolate City Collection
400,Christmas Thieves Collection
401,Christmas Under the Sea Collection
402,Chronicle Collection
403,Cinderella (Animated) Collection
404,Cinderella Story Collection
405,Cities of Love Collection
406,City Hunter (Reboot) Collection
407,Clash of the Titans Collection
408,Class Reunion Collection
409,Class of Nuke 'Em High Collection
410,Claus Family Collection
411,Clerks Collection
412,Clifford the Big Red Dog Collection
413,Clint Eastwood's Iwo Jima Collection
414,Cloudy with a Chance of Meatballs Collection
415,Clown Motel Collection
416,Club Elite Collection
417,Clubhouse Detectives Collection
418,Coboy Junior Collection
419,Cocaine Cowboys Collection
420,Coconut The Little Dragon Collection
421,Code 8 Collection
422,Code Geass: Akito the Exiled Collection
423,Code Geass: Lelouch of the Rebellion Recap Film Trilogy
424,Cold Prey Collection
425,Cold Pursuit Collection
426,Cold War Collection
427,Colección La Tropa de Trapo
428,Colección Los Lunnis
429,Colección Scruff
430,Collection Dorcel - 40 ans
431,Collection Les 3 p'tits cochons
432,Collection Les Pee-Wee
433,Come un gatto in tangenziale - Collezione
434,Coming to America Collection
435,Commander Kellie & the Superkids Collection
436,Commando Collection
437,Concrete Utopia Collection
438,Confession Executive Committee (Series)
439,Confidential Assignment
440,Conjuring the Genie Collection
441,Conspiracies: The Hidden Truth Collection
