imdb_id,company_id
tt0113026,53370
tt0113026,16176
tt0113026,20260
tt0113026,26222
tt0113092,35941
tt0113092,10388
tt0113092,15659
tt0113092,17773
tt0118694,32276
tt0118694,18268
tt0118694,12627
tt0118694,18664
tt0118694,9276
tt0118852,33725
tt0118852,25140
tt0119273,40332
tt0119273,6380
tt0119273,5506
tt0119273,5209
tt0120202,38108
tt0120202,8887
tt0120202,7523
tt0120202,10490
tt0120263,50951
tt0120263,7382
tt0120263,17656
tt0120263,21201
tt0120467,33753
tt0120467,22395
tt0120467,26696
tt0120626,29741
tt0120626,9400
tt0120626,12417
tt0120626,651
tt0120626,8202
tt0120626,16936
tt0120626,20196
tt0120626,21397
tt0120626,24374
tt0120630,29282
tt0120630,18820
tt0120630,7087
tt0120733,34275
tt0120753,42652
tt0120753,27454
tt0120753,20936
tt0120753,11699
tt0120755,48048
tt0120755,5984
tt0120903,31316
tt0120903,130
tt0120903,15679
tt0120913,35518
tt0120913,9349
tt0120913,9876
tt0120913,130
tt0120917,56517
tt0120917,27063
tt0122161,44146
tt0122459,41749
tt0122459,16136
tt0123003,41679
tt0123003,18255
tt0127349,48779
tt0127349,7464
tt0127349,10379
tt0130623,56517
tt0130623,27063
tt0130623,25137
tt0131704,55152
tt0131704,27412
tt0131704,26268
tt0131704,12572
tt0131704,4387
tt0131704,12883
tt0132910,35941
tt0132910,12592
tt0132910,18509
tt0133752,51181
tt0134084,35941
tt0134084,13403
tt0134084,5852
tt0134630,51565
tt0134630,2767
tt0134630,11292
tt0134847,41509
tt0134983,40105
tt0134983,21951
tt0134983,26222
tt0134983,16136
tt0135707,44456
tt0138353,47222
tt0138353,5183
tt0138353,3518
tt0138749,36312
tt0138749,7087
tt0138946,45628
tt0138946,11998
tt0139388,50090
tt0139388,9070
tt0139388,3290
tt0139388,13031
tt0139500,41444
tt0139500,5684
tt0139500,18605
tt0141926,55706
tt0141926,6757
tt0141926,23943
tt0141926,23865
tt0142650,44956
tt0143344,35259
tt0144084,43709
tt0144084,19629
tt0144084,16909
tt0144084,4873
tt0144084,1267
tt0144142,45628
tt0144189,29149
tt0144528,55706
tt0144528,11823
tt0144608,30463
tt0144608,11874
tt0144964,35531
tt0144964,6749
tt0144964,11186
tt0146309,46656
tt0146309,2766
tt0146309,2767
tt0146309,25378
tt0146309,3916
tt0146309,11292
tt0146882,54978
tt0146882,27603
tt0146882,6896
tt0146882,17358
tt0146984,56930
tt0146984,1167
tt0146984,7861
tt0146984,130
tt0146984,7087
tt0149367,51319
tt0149367,10379
tt0149367,12170
tt0149367,11622
tt0149367,26268
tt0149367,26089
tt0149367,18509
tt0149624,45628
tt0149624,5506
tt0151150,55690
tt0151372,50830
tt0151372,2935
tt0151372,8858
tt0151372,17657
tt0151372,21521
tt0151372,21702
tt0154352,47233
tt0155150,46273
tt0156020,41065
tt0156020,14512
tt0156020,16484
tt0156020,23233
tt0156323,55706
tt0156323,20965
tt0156323,3685
tt0156741,52126
tt0156757,38176
tt0156757,10379
tt0156757,19109
tt0156757,19368
