title,author,scipt date,script type,movie url,script url
"Addams Family, The","Charles Addams,Caroline Thompson",1991-04,Shooting Script,https://imsdb.com/Movie%20Scripts/Addams%20Family%2C%20The%20Script.html,"https://imsdb.com/scripts/Addams-Family,-The.html"
"Adjustment Bureau, The","George Nolfi,Philip K Dick",Undated,Draft,https://imsdb.com/Movie%20Scripts/Adjustment%20Bureau%2C%20The%20Script.html,"https://imsdb.com/scripts/Adjustment-Bureau,-The.html"
"Adventures of Buckaroo Banzai Across the Eighth Dimension, The",Earl Mac Rauch,1983-03,Draft,https://imsdb.com/Movie%20Scripts/Adventures%20of%20Buckaroo%20Banzai%20Across%20the%20Eighth%20Dimension%2C%20The%20Script.html,"https://imsdb.com/scripts/Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html"
Affliction,"Russell Banks,Paul Schrader",1997,Draft,https://imsdb.com/Movie%20Scripts/Affliction%20Script.html,https://imsdb.com/scripts/Affliction.html
After School Special,David H. Steinberg,2000-01,Draft,https://imsdb.com/Movie%20Scripts/After%20School%20Special%20Script.html,https://imsdb.com/scripts/After-School-Special.html
After.Life,Agnieszka Wojtowicz-Vosloo,2008-07,Draft,https://imsdb.com/Movie%20Scripts/After.Life%20Script.html,https://imsdb.com/scripts/After.Life.html
Agnes of God,John Pielmeier,Undated,Draft,https://imsdb.com/Movie%20Scripts/Agnes%20of%20God%20Script.html,https://imsdb.com/scripts/Agnes-of-God.html
Air Force One,Andrew W. Marlowe,Undated,Draft,https://imsdb.com/Movie%20Scripts/Air%20Force%20One%20Script.html,https://imsdb.com/scripts/Air-Force-One.html
Airplane,"Jim Abrahams, David Zucker,Jerry Zucker",1979-06,Shooting draft,https://imsdb.com/Movie%20Scripts/Airplane%20Script.html,https://imsdb.com/scripts/Airplane.html
Airplane 2: The Sequel,Ken Finkleman,1982-02,Draft,https://imsdb.com/Movie%20Scripts/Airplane%202%3A%20The%20Sequel%20Script.html,https://imsdb.com/scripts/Airplane-2:-The-Sequel.html
Aladdin,"Roger Allers,Ron Clements",1992,Transcript,https://imsdb.com/Movie%20Scripts/Aladdin%20Script.html,https://imsdb.com/scripts/Aladdin.html
Ali,"Stephen J Rivele,Christopher Wilkinson,Eric Roth,Michael Mann",Undated,Draft,https://imsdb.com/Movie%20Scripts/Ali%20Script.html,https://imsdb.com/scripts/Ali.html
Alien,"Walter Hill,David Giler",1978-06,Draft,https://imsdb.com/Movie%20Scripts/Alien%20Script.html,https://imsdb.com/scripts/Alien.html
Alien 3,Rex Pickett,1991-01,Draft,https://imsdb.com/Movie%20Scripts/Alien%203%20Script.html,https://imsdb.com/scripts/Alien-3.html
